"f0a9f1ca14764095ae089b152e0e7f11","Which comic characters are painted by Bill Finger ?"
"f0a9f1ca14764095ae089b152e0e7f31","Who is the mayor of capital of Australia ."
"30b709079ea5421cb33c227c3feb9019","Is Selwyn Lloyd the prime minister of Winston Churchill ?"
"f0a9f1ca14764095ae089b152e0e7f12","List all the musicals with music by Elton John ."
"f0a9f1ca14764095ae089b152e0e7f10","List all the musicals with music by Elton John ."
"f0a9f1ca14764095ae089b152e0e7f13","Who was the wife of U.S. president Lincoln ."
"f0a9f1ca14764095ae089b152e0e7f14","Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ."
"f0a9f1ca14764095ae089b152e0e7f15","What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher ?"
"f0a9f1ca14764095ae089b152e0e7f16","Did Timm Gunn guest in Sunrise (HIMYM) ?"
"f0a9f1ca14764095ae089b152e0e7f17","Who is the common manager of Aston Villa 2000-02 season and aldo the manager of Middlesbrough F.C. season 2009-10 ."
"f0a9f1ca14764095ae089b152e0e7f18","Who was married to president Chirac ."
"f0a9f1ca14764095ae089b152e0e7f19","What is the local authority of the Trinity School, Brentwood and place of birth of the Sarah Walker (badminton) ?"
"f0a9f1ca14764095ae089b152e0e7f20","What is the Nickname of Daniel O'Regan ?"
"f0a9f1ca14764095ae089b152e0e7f21","Who is the wife of Barack Obama ?"
"f0a9f1ca14764095ae089b152e0e7f22","Which band had the members of The Conglomerate, and has made 'Before I let you go' ?"
"f0a9f1ca14764095ae089b152e0e7f23","Name the major shrine of Bogumilus ?"
"f0a9f1ca14764095ae089b152e0e7f24","Which city located on Mediterranean Sea is also the stadium of Panionios G.S.S. season ?"
"f0a9f1ca14764095ae089b152e0e7f25","Where do the sister stations of Al Khaleejiya 100.9 play ?"
"f0a9f1ca14764095ae089b152e0e7f26","Who is the leader of United States House of Representatives elections, 1788 and 1789 ?"
"f0a9f1ca14764095ae089b152e0e7f27","Which comic characters are painted by Bill Finger ?"
"f0a9f1ca14764095ae089b152e0e7f28","Name some leaders of the parent organisation of the Gestapo ?"
"f0a9f1ca14764095ae089b152e0e7f29","Who is the mayor of capital of Australia ."
"f0a9f1ca14764095ae089b152e0e7f30","Who is the mayor of capital of Australia ."
